Description,Make ,Processor/Core,Preferred Model,Number Requested, Date,Intended Use,Description of intended use,Shared or Dedicated,Department,Location
"RAM: Min 32GB, 64GB preferred. GPU: suitable for high-resoultion rendering of complex multi-component CAD modelling, such as Radeon or Nvidia w/ min 8GB dedicated RAM Monitors: Dual UHD widescreen 24"" min., 26-27"" curved preferred. Peripherals: CAD-specific mouse and/or3D flyaround (3DConnexion for example) highly preferred.",Dell,Min. I9 Xeon (6-8 cores) or Ryzen 7/9 processor (12-16 cores). AMD with minimum 16 cores is probably best.,Workstation,13,ASAP,Research,Price 102,Shared function in future CAD/CAM training lab. The lab will need probably 12-14 of these for the teaching lab. ,AET,Price
"RAM: Min 32GB, 64GB preferred. GPU: suitable for high-resoultion rendering of complex multi-component CAD modelling, such as Radeon or Nvidia w/ min 8GB dedicated RAM Monitors: Dual UHD widescreen 24"" min., 26-27"" curved preferred. Peripherals: CAD-specific mouse and/or3D flyaround (3DConnexion for example) highly preferred.",Dell,Min. I9 Xeon (6-8 cores) or Ryzen 7/9 processor (12-16 cores). AMD with minimum 16 cores is probably best.,Workstation,7,ASAP,Research,Price 102,"Need 6-8 of these, one each for lab manager, assistant lab manager, lead RA/Tas, lead FSAE officers.",AET,Price
"GPU: Two Invidia Tesla K80 Accelerators w 24gb on=board RAM. Monitors: Three or four 4K monitors, curved. Memory: 256gb minimum, 512 preferred. Storage: 4 or more SSD with min 4TB each. External hot-swap port preferred.", ,Two 10-core Intel(R) Xeon(R) E5-2660 v3 processors @ 2.60GHz,Server,1,2024,Research,Price 102,One needed,AET,Price
"GPUs: Two NVIDIA® RTX™ A6000 (48 GB ECC GDDR6; 4 x DisplayPort 1.4, PCIe x16) Graphics with Blower Fan; or two Radeon Pro W6800X Duo with 64GB of GDDR6 memory each. The GPUs should be compatible with the CPUs. Memory: at least 768GB DDR4 (the memory volume and type needs to be compatible with the processors) Storage: at least 4TB SSD Monitors: three 4k or 2k monitors with eye-care technique, low blue light, non-flickering, above 100%sRGB OS: Windows preferred
",Not specified,"Two Intel® Xeon® Gold 6258R 2nd Processor (2.7 GHz, up to 4.0 GHz W/Boost, 38.5M MB cache, 2933MHz, 28 core, 205W); or other processors with better performance",Workstation,3,2023,Research,Dr. Wang's future research lab. ,"Minimum of 3 units, possibly more depending on graduate student load.",AET,Price
"GPUs: 8x NVIDIA RTX A6000, NVLinked, 48 GB VRAM per GPU Memory: at least 1536GB Storage: 15TB SSD or more Monitors: at least three 4K monitors

",Not specified,"CPUs: 2x Intel Xeon Gold 5220R, 24 cores, 2.20 GHz",Server,1,2023,Research,Dr. Wang's future research lab. ,"A single unit, location flexible.",AET,Price
"Entry-Level PC for general lab applications. Integrated GPU acceptable. Monitor: Single 24-27"" UHD. Memory: 8-16GB. Storage: 512mb-1TB, SSD preferred.",Dell,"Intel i5 or i7, Ryzen 5 or 7.",All in ones,9,2023,Teaching,Price 102,"(1) for Instron, (1) for impact tester, (1) for current 3D printer, (6) for current robotics stations. This is a current total of (9), but we will need more of these as the PLC lab is restarted, as the additive manufacturing lab is expanded, etc. I would estimate 15-20 is more realistic. Possibly more.",AET,Price
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,Smith 3018 ,Classroom Dedicated CM,BLTE,Smith
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,Smith 3009,Shared ,BLTE,Smith
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,Price 112 J ,Dedicated - Geomatics,BLTE,Price
This setup would be acceptable for All of our Professors Especially for research and Geomatics and CM (Autocad BIM and ARCGIS),Dell,Xeon processor or higher Mhz I7 / I9 processors,Desktop,1,not specified,Research/Teaching,not specified,Research and Classroom,BLTE,not specified
Smith 4007,Dell,Precision 7920 or current version Workstation,Workstation,1,not specified,Research/Teaching,Smith 4007,Dedicated Reseach and Classroom,BLTE,Smith
Servers for department,Dell,Dell Poweredge two 3rd Generation Intel® Xeon® Scalable processors,Server,1,not specified,Teaching,not specified,,BLTE,not specified
,LG / Samsung,Monitors (2) 85 inches,TV,1,not specified,Teaching,Price 115 ,Dedicated Classroom EHS,BLTE,Price
Construction Lab,LG / Samsung,Monitors (2) 85 inches,TV,1,not specified,Teaching,not specified,Dedicated Classroom CM,BLTE,
,LG / Samsung,,TV,1,not specified,Department need,not specified,Department need ,BLTE,not specified
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Department need,291A Marteena Hall,Conference ,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Department need,109 Marteena Hall,Conference ,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,112 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,114 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,116 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,118 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,120 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,63,ASAP,Teaching,201 Marteena Hall,Classroom instruction and student active learning,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,212 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,214 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,16,ASAP,Teaching,216 Marteena Hall,Classroom instruction and student active learning,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,220 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,1,ASAP,Teaching,222 Marteena Hall,Classroom instruction,MATHSTATS,Marteena
Xeon processor or higher Mhz I7 / I9 processors; 16 – 32 GB ram; 500GB – 1TB Hard drives; Nvidia Quadro or RTX video cards;Sounds cards / chips. Speakers optional. Monitor 24” minimum with web cams and HD imaging. Wired keyboards and mice … no wireless components.,Dell,Xeon processor or higher Mhz I7 / I9 processors,All in ones,27,ASAP,Teaching,233 Marteena Hall,Classroom instruction and student active learning,MATHSTATS,Marteena
"Five years out, this program would need a fleet of computers that are equivalent to the current HP computers",Z2 or G5 model,i7 or i9 Processors,Desktop,25,5 years out,Research/Teaching,not specified,Dedicated,GDT,not specified
,Dr. Mehta software/seats: GameMaker,,,0,not specified,Research/Teaching,not specified,Dedicated,GDT,not specified
,Dr. Cobb software/seats: Solidworks and Lumion,,,0,not specified,Research/Teaching,,Shared,GDT,not specified
,Faster Graphics Cards ,,Graphics Cards,1,not specified,Research,faster processing and better graphics,Shared,GDT,not specified
"Circuit Devices and supplies  (resistors, capacitors, inductiors, cables, breadboards, soldering irons,etc.). Quanity for each item varies greatly as well as the type of item.",,,Electronic Boards,1,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,Smith
"Digital Multimeter, ",,,Electronic Boards,17,2023,Teaching,"Smith 4008, Price 204, Price 202",Dedicated,ET,Smith
"DC Power Supply, ",,,Power Supply,17,2023,Teaching,"Smith 4008, Price 204, Price 202",Dedicated,ET,Smith
"PC Desktops, these are shared between the three ET labs",Dell,i7/ i9 processors,Desktop,60,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,Smith
Soldering Station,,,,4,2023,Teaching/Lab Work,"Smith 4008, Price 204, Price 202",Dedicated,ET,Smith
Raspberry Pi 4 kits,,,Raspberry Pi,45,2023,Teaching/Lab Work,"Smith 4008, Price 204, Price 202",Dedicated,ET,Price
High Freq. Oscilloscope,,,Other,2,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,Smith
DJI Educational Drone,DJI,,Drone,5,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,Price
"LCR700 is a full-featured, high-performance LCR meter",,,Other,5,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,Smith
high end FPGA boards,,,Electronic Boards,15,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,Price
PCI-E FPGA boards,,,Electronic Boards,5,2023,Teaching,"Smith 4008, Price 204, Price 202",Shared,ET,Price
"HPC Cluster will consist of: 1) 4GPUs, 2) 10 CPUs, 3) Login server, 4) network equipment, 5) rack & power infrastructure, 6) HH storage device, and 7) compilers and application softeare packages ",HPC Cluster,,Server,1,not specified,not specified,TBD,,MATHSTATS,not specified
"Advanced Data Analytics Lab will consist of: 1) 4 High-end Lambda GPU Workstations, 2) 8 Low-end Lambda GPU Workstations,  3) UPS backup power supplies, and 4) network equipment. ",Advanced Data Analytics Lab,,Workstation,12,not specified,not specified,TBD,,MATHSTATS,not specified
"Statistics and Data Science Teaching Lab will consist of 50 IBM power system workstations, and A/V display",Statistics and Data Science Teaching Lab,,Workstation,50,not specified,not specified,113 & 115 Marteena Hall,,MATHSTATS,Marteena
Titled 3x3 60'' clarity matrix LCDs system,Advanced Visualization Lab,,TV,1,not specified,not specified,200 Marteena Hall,,MATHSTATS,Marteena
One Window/Linux server & 6 Dell workstations.,Information Security and Assurance Lab,,Workstation,6,not specified,not specified,319 Hines Hall,,MATHSTATS,Hines
"One portable smartboard, 2 Lambda GPU workstations, 2 Apple Studio workstations and 2 Dell workstations",Statistics and Analytics Consulting Center,,TV,1,not specified,not specified,236 Marteena Hall,,MATHSTATS,Marteena
22 All-In-One Dell desktops,Statistical Computing Lab,Dell,All in ones,22,not specified,not specified,200 Marteena Hall,,MATHSTATS,Marteena
16 All-In-One Dell desktops,Applied Mathematics Modeling and Visualization Lab,Dell,All in ones,,not specified,not specified,122 Marteena Hall,,MATHSTATS,Marteena
"24 Monitors, shortage of monitors for professors, need a refresh, many are outside the 4 year window. ",Various Professor Offices,Dell,Monitors,24,2023,Department need,Price 203,,CST,Price
One Window/Linux server & 6 Dell workstations.,Information Security and Assurance Lab,,Server,1,not specified,not specified,319 Hines Hall,,MATHSTATS,Hines
"Advanced Data Analytics Lab will consist of: 1) 4 High-end Lambda GPU Workstations, 2) 8 Low-end Lambda GPU Workstations,  3) UPS backup power supplies, and 4) network equipment. ",Advanced Data Analytics Lab,,Power Supply,2,not specified,not specified,TBD,,MATHSTATS,not specified