Obsolete,Aquired Date,Location,Number of computers in room ,Building,,,,,
almost,bought by ITS,Price 112J,12 student and one instructor,Price,,,,,
Almost,bought by ITS,Smith 3009,28 student and one instructor,Smith,,,,,
Almost,bought by department,Smith 4007,1 instructor / Researchers BIM and CM and Geomatics,Smith,,,,,
almost,bought by ITS,Price 112J,12 student and one instructor,Price,,,,,
Almost,bought by ITS,Smith 3009,28 student and one instructor,Smith,,,,,
Almost,bought by department,Smith 4007,1 instructor / Researchers BIM and CM and Geomatics,Smith,,,,,
Almost,2013,IRC Bldg Basement,,IRC Server Room,,,,,
Almost,2017,200 Marteena Hall,,Marteena,,,,,
Almost,2013,200 Marteena Hall,,Marteena,,,,,
Almost,2007,236 Marteena Hall,,Marteena,,,,,
Almost,2011,122 Marteena Hall,,Marteena,,,,,
almost ,bought by ITS,Smith 3018,28 student and one instructor,Smith,,,,,
almost ,bought by ITS,Smith 3018,28 student and one instructor,Smith,,,,,
No,2022,112 Marteena Hall,1,Marteena,,,,,
No,2022,114 Marteena Hall,1,Marteena,,,,,
No,2022,116 Marteena Hall,1,Marteena,,,,,
No,2022,118 Marteena Hall,1,Marteena,,,,,
No,2022,120 Marteena Hall,1,Marteena,,,,,
No,2022,212 Marteena Hall,1,Marteena,,,,,
No,2022,214 Marteena Hall,1,Marteena,,,,,
No,2022,216 Marteena Hall,1,Marteena,,,,,
No,2022,220 Marteena Hall,1,Marteena,,,,,
No,2022,220 Marteena Hall,1,Marteena,,,,,
No,Unknown-2 years ago,Smith 3009,,Smith,,,,,
No,Year-2022,Smith 4009,,Smith,,,,,
No,3 years ago,Smith 4012,,Smith,,,,,
No,2 years ago,Smith 4012,,Smith,,,,,
No,2022,Smith 2014,,Smith,,,,,
No,2022,Price Hall 201b,21 (including one out of service),Price,,,,,
No,2022,Price Hall 204,21,Price,,,,,
No,N/A,Smith 4001,35,Smith,,,,,
No,N/A,Smith 4001,1,Smith,,,,,
No,N/A,Smith 4016,30,Smith,,,,,
No,2022,Smith 4016,1,Smith,,,,,
not specified,N/A,Barnes G11,,Barnes,,,,,
not specified,n/a,Barnes G11,,Barnes,,,,,
not specified,n/a,Barnes G11,,Barnes,,,,,
not specified,n/a,Barnes G11,,Barnes,,,,,
not specified,n/a,Barnes G11,,Barnes,,,,,
not specified,N/A,Barnes G11,,Barnes,,,,,
not specified,N/A,Barnes G11,,Barnes,,,,,
unknown,bought by department,IRC Server room ,4 servers,IRC Server Room,,,,,
unknown,bought by department,IRC Server room ,4 servers,IRC Server Room,,,,,
Yes,2014,201 Marteena Hall,3,Marteena,,,,,
Yes,2014,222 Marteena Hall,1,Marteena,,,,,
Yes,Unknown-3 years ago,Smith 3009,,Smith,,,,,
Yes,6-7 years ago,Smith 4009,,Smith,,,,,
Yes,6-7 years ago,Smith 4009,,Smith,,,,,
Yes,4 years ago,Smith 4011,,Smith,,,,,
Yes,4 years ago,Smith 4011,,Smith,,,,,
Yes,7 years ago,Smith 4012,,Smith,,,,,
Yes,7 years ago,Smith 4012,,Smith,,,,,
Yes,7 years ago,Jacque Lee- Price 103B,,Price,,,,,
Yes,3 years ago,Regina-Price 116 - *Moving to CST*,,Price,,,,,
Yes,7 years ago,Dr. Childress - Smith Hall-Deans office,,Dr. Childress' Office,,,,,
Yes,2011,319 Hines Hall,,Marteena,,,,,
Yes,N/A,Price Hall 201b,1,Price,,,,,
Yes,N/A,Price Hall 202,1,Price,,,,,
Yes,N/A,Smith 4008,14,Smith,,,,,
Yes,N/A,Smith 4008,1,Smith,,,,,
,,233 Marteena Hall,3,Marteena,,,,,